Product Name,Feature Description,Selling Price (₹),Original Price (₹),Images URL,Product Video URL,Feature 1 Label,Feature 1 Value,Feature 2 Label,Feature 2 Value,Feature 3 Label,Feature 3 Value,Feature 4 Label,Feature 4 Value,Feature 5 Label,Feature 5 Value,Feature 6 Label,Feature 6 Value,Applications,Support Link 1 Title,Support Link 1 URL,Support Link 1 Icon,Support Link 2 Title,Support Link 2 URL,Support Link 2 Icon,Support Link 3 Title,Support Link 3 URL,Support Link 3 Icon,Support Link 4 Title,Support Link 4 URL,Support Link 4 Icon,Support Link 5 Title,Support Link 5 URL,Support Link 5 Icon,Support Link 6 Title,Support Link 6 URL,Support Link 6 Icon,Enable Buyer Note,Visibility,Brand,Category,Product URL Slug,SEO Meta Title,SEO Meta Description,SKU,Product ID
HIWIN Super Z Ballscrew,Reliable and high-performance Super Z Ballscrew from HIWIN.,2500,3000,Super-Z-Ballscrew.jpg,,Low Noise,↓ 3~5 dB,Space-saving and lightweight design,↓ 20~30%,Maximum Dm-N value up to,"160,000",,,,,,,CNC Machine Tools; High Speed Machinery; Special Purpose Machines; Electronic Machines; Medical Equipment; Testing Equipment; Inspection Equipment; Semi-conductor Equipment; Nanotechnology Platform for cleanroom,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=BS,specs,Product Selection,https://www.hiwinsupport.com/product_select/ballscrew.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/ballscrew.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/ballscrew.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Ballscrew,,,,,
HIWIN E2 series,Reliable and high-performance E2 series from HIWIN.,2500,3000,E2-Series.jpg,,Cost Saving,lubrication free,Easy Installation,Replaceable,Extended Maintenance,Up to 10000 KM,,,,,,,Automation equipment; Industrial machine; Electronic machine; Medical equipment; Transportation; Construction,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=GW,specs,Product Selection,https://www.hiwinsupport.com/product_select/linear_guideway.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/linear_guideway.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/linear_guideway.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Linear Guideway,,,,,
HIWIN EG series,Reliable and high-performance EG series from HIWIN.,2500,3000,EG-Series.jpg,,Steel balls contact angle,45°,Lower assembly height,15%,Block length shortened by,33%,,,,,,,Automation equipment; Laser engraving machine; Semiconductor equipment; Packaging equipment,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=GW,specs,Product Selection,https://www.hiwinsupport.com/product_select/linear_guideway.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/linear_guideway.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/linear_guideway.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Linear Guideway,,,,,
HIWIN HG series,Reliable and high-performance HG series from HIWIN.,2500,3000,HG-Series.jpg,,Steel balls contact angle,45°,Radial rigidity up to,"1,599 N/µm",Maximum static load,420 KN,,,,,,,Grinding machine; Milling machine; Drilling machine; Lathe; Machining center; EDM; Boring Machine; Wire cut; Precision testing machine; Wood working; Transportation equipment,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=GW,specs,Product Selection,https://www.hiwinsupport.com/product_select/linear_guideway.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/linear_guideway.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/linear_guideway.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Linear Guideway,,,,,
HIWIN MG series,Reliable and high-performance MG series from HIWIN.,2500,3000,MG-Series.jpg,,Miniature size,2 mm,Salt spray test time,6 times,,,,,,,,,Printing machines; Industrial robots; Electronic equipments; Semiconductor equipment,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=GW,specs,Product Selection,https://www.hiwinsupport.com/product_select/linear_guideway.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/linear_guideway.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/linear_guideway.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Linear Guideway,,,,,
HIWIN QE series,Reliable and high-performance QE series from HIWIN.,2500,3000,QE-Series.jpg,,Low noise design,↓ 5dB,Lower assembly height,15%,Block length shortened by,33%,,,,,,,Precision measurement equipment; Semiconductor equipment; Automation equipment; Laser Engraving machine; can be widely used in high-tech industry requiring high speed; low noise; low dust generation,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=GW,specs,Product Selection,https://www.hiwinsupport.com/product_select/linear_guideway.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/linear_guideway.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/linear_guideway.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Linear Guideway,,,,,
HIWIN QH series,Reliable and high-performance QH series from HIWIN.,2500,3000,QH-Series.jpg,,Low noise design,↓ 5dB,Contact angle,45°,Smoother movement,2 times,,,,,,,Precision measurement equipment; Semiconductor equipment; Automation equipment; Laser Engraving machine; can be widely used in high-tech industry requiring high speed; low noise; low dust generation,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=GW,specs,Product Selection,https://www.hiwinsupport.com/product_select/linear_guideway.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/linear_guideway.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/linear_guideway.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Linear Guideway,,,,,
HIWIN QR series,Reliable and high-performance QR series from HIWIN.,2500,3000,QR-Series.jpg,,Low noise design,↓ 3 dB,Radial rigidity up to,"5,412 N/µm",Static load rating up to,572 KN,,,,,,,CNC machining centers; heavy duty cutting machines; CNC; grinding machines; injection molding machines; electric discharge machines; wire cutting machines; Gantry machine,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=GW,specs,Product Selection,https://www.hiwinsupport.com/product_select/linear_guideway.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/linear_guideway.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/linear_guideway.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Linear Guideway,,,,,
HIWIN QW series,Reliable and high-performance QW series from HIWIN.,2500,3000,QW-Series.jpg,,Low noise design,↓ 5dB,Limited space,Suitable for single rail,Higher torsional resistance,3.5 times,,,,,,,Precision measurement; Transportation equipment; Automation equipment; equipment; Semiconductor equipment; Pet blowing machine; Single axis robots,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=GW,specs,Product Selection,https://www.hiwinsupport.com/product_select/linear_guideway.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/linear_guideway.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/linear_guideway.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Linear Guideway,,,,,
HIWIN RG series,Reliable and high-performance RG series from HIWIN.,2500,3000,RG-Series.jpg,,Radial rigidity up to,"5,412 N/µm",Static load rating up to,572 KN,Contact angle,45°,,,,,,,CNC machining centers; heavy duty cutting machines; CNC; grinding machines; injection molding machines; electric discharge machines; wire cutting machines; Gantry machine,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=GW,specs,Product Selection,https://www.hiwinsupport.com/product_select/linear_guideway.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/linear_guideway.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/linear_guideway.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Linear Guideway,,,,,
HIWIN WE series,Reliable and high-performance WE series from HIWIN.,2500,3000,WE-Series.jpg,,Space limitation,Suitable for single rail,Higher torsional resistance,3.5 times,,,,,,,,,Automation equipment; Transportation equipment; Precision measurement; equipment; Semiconductor equipment; Pet blowing machine; Single axis robots,Full Specs,https://www.hiwinsupport.com/download_center.aspx?pid=GW,specs,Product Selection,https://www.hiwinsupport.com/product_select/linear_guideway.aspx,selection,Life Calculation,https://www.hiwinsupport.com/life_Calculate/linear_guideway.aspx,calculation,CAD Download,https://www.hiwinsupport.com/cad_download/linear_guideway.aspx,cad,,,,,,,TRUE,TRUE,HIWIN,Linear Guideway,,,,,
